wind_speed_midpoint_kmh,probability
-19.5,4.3721461187214615e-05
-18.5,5.3995433789954336e-05
-17.5,7.579908675799087e-05
-16.5,8.789954337899544e-05
-15.5,0.00012054794520547945
-14.5,0.00014897260273972603
-13.5,0.0001928082191780822
-12.5,0.00024840182648401825
-11.5,0.00031541095890410956
-10.5,0.0004127853881278539
-9.5,0.0005150684931506849
-8.5,0.0006646118721461187
-7.5,0.0008799086757990867
-6.5,0.0010833333333333333
-5.5,0.0013810502283105022
-4.5,0.0017647260273972603
-3.5,0.0022276255707762557
-2.5,0.0027718036529680366
-1.5,0.0035149543378995432
-0.5,0.004301369863013699
0.5,0.005423059360730594
1.5,0.0066025114155251145
2.5,0.008182420091324201
3.5,0.009845091324200913
4.5,0.011957648401826485
5.5,0.014201027397260275
6.5,0.016859817351598173
7.5,0.019717351598173515
8.5,0.022745205479452055
9.5,0.02599406392694064
10.5,0.029203310502283104
11.5,0.03232853881278539
12.5,0.03524634703196347
13.5,0.03776849315068493
14.5,0.04007819634703196
15.5,0.04175228310502283
16.5,0.04289988584474886
17.5,0.043290981735159814
18.5,0.04316449771689498
19.5,0.04247260273972603
20.5,0.04123344748858448
21.5,0.039683447488584475
22.5,0.037733561643835616
23.5,0.03539041095890411
24.5,0.03316164383561644
25.5,0.03067511415525114
26.5,0.028023744292237442
27.5,0.025657534246575343
28.5,0.023112785388127853
29.5,0.020730479452054796
30.5,0.01859486301369863
31.5,0.01627568493150685
32.5,0.014365753424657535
33.5,0.012602625570776255
34.5,0.011009931506849315
35.5,0.00950673515981735
36.5,0.008162328767123288
37.5,0.00701027397260274
38.5,0.005936415525114155
39.5,0.005068493150684932
40.5,0.004281164383561644
41.5,0.0036230593607305935
42.5,0.003046232876712329
43.5,0.0025385844748858446
44.5,0.002125228310502283
45.5,0.0017713470319634702
46.5,0.0014635844748858448
47.5,0.001203082191780822
48.5,0.0009976027397260274
49.5,0.0008143835616438356
50.5,0.0006694063926940639
51.5,0.0005341324200913242
52.5,0.00043687214611872144
53.5,0.0003694063926940639
54.5,0.0002972602739726027
55.5,0.0002319634703196347
56.5,0.00019406392694063928
57.5,0.0001552511415525114
58.5,0.00012465753424657533
59.5,0.00010525114155251141
60.5,8.15068493150685e-05
61.5,6.529680365296803e-05
62.5,5.2625570776255705e-05
63.5,4.2351598173515984e-05
64.5,3.378995433789954e-05
65.5,2.351598173515982e-05
66.5,2.100456621004566e-05
67.5,1.7351598173515983e-05
68.5,1.0730593607305936e-05
69.5,9.703196347031963e-06
