wind_farm_power_MW,probability,z_min,z_max,wind_speed_min_kmh,wind_speed_max_kmh,wind_state_count
0.0,0.5424351776353489,-4.9,0.0,-33.2086611122437,13.787938618223954,50
0.0489,0.04081702781086681,0.1,0.1,14.74705289843758,14.74705289843758,1
0.2147,0.03937641877081966,0.2,0.2,15.706167178651206,15.706167178651206,1
0.4256,0.0375261587727962,0.3,0.3,16.665281458864833,16.665281458864833,1
0.6815,0.035519458915205485,0.4,0.4,17.62439573907846,17.62439573907846,1
0.9826,0.03316875119322974,0.5,0.5,18.58351001929208,18.58351001929208,1
1.3288,0.030752095945924467,0.6000000000000001,0.6000000000000001,19.542624299505707,19.542624299505707,1
1.72,0.028329123740047483,0.7000000000000001,0.7000000000000001,20.501738579719333,20.501738579719333,1
2.1564,0.025897741607397363,0.8,0.8,21.46085285993296,21.46085285993296,1
2.6379,0.023533258349259248,0.9,0.9,22.419967140146582,22.419967140146582,1
3.1644,0.021187231265261314,1.0,1.0,23.379081420360208,23.379081420360208,1
3.736,0.018981585266630234,1.1,1.1,24.338195700573834,24.338195700573834,1
4.3528,0.016855243735850865,1.2000000000000002,1.2000000000000002,25.29730998078746,25.29730998078746,1
5.0146,0.014959166761199065,1.3,1.3,26.256424261001087,26.256424261001087,1
5.7215,0.01312180705809005,1.4,1.4,27.215538541214713,27.215538541214713,1
6.4735,0.011444730665245378,1.5,1.5,28.17465282142834,28.17465282142834,1
7.2706,0.009950541639240872,1.6,1.6,29.133767101641965,29.133767101641965,1
8.1128,0.008669302614242818,1.7000000000000002,1.7000000000000002,30.09288138185559,30.09288138185559,1
9.0001,0.007433576134134751,1.8,1.8,31.051995662069213,31.051995662069213,1
9.9325,0.0064114846264445744,1.9,1.9,32.01110994228284,32.01110994228284,1
10.91,0.0054607823614077145,2.0,2.0,32.97022422249647,32.97022422249647,1
11.9326,0.0046734457779865155,2.1,2.1,33.929338502710095,33.929338502710095,1
13.0003,0.003931279253749536,2.2,2.2,34.88845278292372,34.88845278292372,1
14.113,0.0033460092366872363,2.3000000000000003,2.3000000000000003,35.84756706313735,35.84756706313735,1
15.2709,0.0028024463677849515,2.4000000000000004,2.4000000000000004,36.806681343350974,36.806681343350974,1
16.4738,0.0023459890300306157,2.5,2.5,37.76579562356459,37.76579562356459,1
17.7219,0.001961339528569903,2.6,2.6,38.72490990377822,38.72490990377822,1
19.015,0.0016438552793923292,2.7,2.7,39.684024183991845,39.684024183991845,1
20.3533,0.001365300238762005,2.8000000000000003,2.8000000000000003,40.64313846420548,40.64313846420548,1
21.7366,0.0011259788384170803,2.9000000000000004,2.9000000000000004,41.602252744419104,41.602252744419104,1
23.165,0.000922390113366133,3.0,3.0,42.56136702463272,42.56136702463272,1
24.6385,0.000770516729874925,3.1,3.1,43.52048130484635,43.52048130484635,1
26.1571,0.0006257213843012987,3.2,3.2,44.479595585059975,44.479595585059975,1
27.0,0.0026550633524346796,3.3000000000000003,5.0,45.4387098652736,61.74365262890523,18
